epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,574.072,1.77076,0.80963,0.89206,0.94545,0.39022,0.66177,0.39182,1.57856,0.80161,0.87899,0.00193235,0.00193235,0.00193235
43,589.896,1.75861,0.8123,0.88461,0.95185,0.39279,0.6668,0.39831,1.58764,0.79038,0.88086,0.0019307,0.0019307,0.0019307
44,612.75,1.78045,0.8113,0.8816,0.94816,0.39055,0.66335,0.3909,1.59856,0.79095,0.88262,0.00192905,0.00192905,0.00192905
45,624.932,1.77452,0.80994,0.88847,0.94601,0.39063,0.66281,0.38515,1.61476,0.80676,0.88278,0.0019274,0.0019274,0.0019274
46,668.476,1.78574,0.81496,0.88919,0.95077,0.39308,0.66782,0.39589,1.58786,0.78784,0.87991,0.00192575,0.00192575,0.00192575
47,684.194,1.78159,0.8156,0.88964,0.94808,0.39092,0.66352,0.39198,1.60201,0.78969,0.88173,0.0019241,0.0019241,0.0019241
48,701.585,1.75673,0.81673,0.88717,0.94874,0.39151,0.66528,0.39555,1.57732,0.80703,0.88068,0.00192245,0.00192245,0.00192245
49,713.356,1.78415,0.81038,0.88538,0.94866,0.39141,0.66501,0.39479,1.5889,0.79725,0.88046,0.0019208,0.0019208,0.0019208
50,729.851,1.7794,0.80624,0.87946,0.94906,0.39104,0.66398,0.39085,1.60196,0.80401,0.88283,0.00191915,0.00191915,0.00191915
51,742.504,1.77341,0.81228,0.8885,0.94836,0.39174,0.66541,0.39161,1.60281,0.79498,0.88223,0.0019175,0.0019175,0.0019175
52,754.059,1.77598,0.80898,0.89085,0.94931,0.39185,0.66458,0.39307,1.57095,0.798,0.87766,0.00191585,0.00191585,0.00191585
53,766.369,1.765,0.81324,0.8858,0.94636,0.3901,0.66233,0.38898,1.61903,0.80977,0.8833,0.0019142,0.0019142,0.0019142
54,778.319,1.78227,0.81044,0.88519,0.95053,0.3929,0.66736,0.39708,1.59088,0.78816,0.88005,0.00191255,0.00191255,0.00191255
55,789.913,1.79144,0.81137,0.88327,0.94943,0.39186,0.66506,0.3933,1.61995,0.79349,0.88489,0.0019109,0.0019109,0.0019109
56,800.621,1.74771,0.81087,0.88875,0.94777,0.39213,0.66557,0.39634,1.55886,0.79594,0.87861,0.00190925,0.00190925,0.00190925
57,813.535,1.76005,0.80618,0.88493,0.95247,0.39338,0.66854,0.40142,1.566,0.78468,0.87734,0.0019076,0.0019076,0.0019076
58,825.266,1.74609,0.8018,0.88204,0.95359,0.3935,0.66852,0.40025,1.54257,0.79207,0.87486,0.00190595,0.00190595,0.00190595
59,845.255,1.74215,0.80825,0.87973,0.95269,0.3929,0.66794,0.40376,1.54463,0.78549,0.87651,0.0019043,0.0019043,0.0019043
60,857.095,1.7251,0.79123,0.87627,0.94869,0.39152,0.66437,0.39291,1.58099,0.79212,0.87898,0.00190265,0.00190265,0.00190265
61,868.568,1.77011,0.80475,0.88245,0.95344,0.39367,0.6687,0.40153,1.54927,0.7883,0.87482,0.001901,0.001901,0.001901
62,882.745,1.72301,0.80578,0.8882,0.94897,0.39241,0.66673,0.40187,1.53817,0.78978,0.87641,0.00189935,0.00189935,0.00189935
63,894.016,1.75113,0.80345,0.88513,0.95051,0.39247,0.66603,0.40047,1.5437,0.79447,0.87543,0.0018977,0.0018977,0.0018977
64,907.755,1.7616,0.80829,0.88271,0.95523,0.39372,0.6685,0.40188,1.55179,0.78441,0.87587,0.00189605,0.00189605,0.00189605
65,919.564,1.77728,0.80599,0.88459,0.95378,0.39331,0.66721,0.40293,1.54923,0.77918,0.87653,0.0018944,0.0018944,0.0018944
66,934.49,1.73689,0.8044,0.88688,0.95359,0.39319,0.66739,0.39802,1.5599,0.7954,0.87675,0.00189275,0.00189275,0.00189275
67,948.322,1.77981,0.80675,0.88422,0.95068,0.39175,0.66547,0.39399,1.57603,0.80093,0.87991,0.0018911,0.0018911,0.0018911
68,960.361,1.73793,0.80805,0.88927,0.95253,0.39324,0.66773,0.39531,1.57726,0.795,0.87896,0.00188945,0.00188945,0.00188945
69,972.738,1.73855,0.80148,0.88572,0.95398,0.39327,0.66765,0.39931,1.57066,0.78214,0.87745,0.0018878,0.0018878,0.0018878
70,984.702,1.77935,0.80502,0.88596,0.95536,0.39368,0.66902,0.40325,1.55344,0.78568,0.87546,0.00188615,0.00188615,0.00188615
71,999.483,1.76835,0.80074,0.87539,0.95591,0.3943,0.66993,0.4053,1.54674,0.78132,0.87545,0.0018845,0.0018845,0.0018845
72,1010.45,1.72179,0.80325,0.88273,0.95303,0.39295,0.66693,0.39912,1.55214,0.78523,0.87603,0.00188285,0.00188285,0.00188285
73,1022.19,1.73918,0.79985,0.88328,0.95435,0.39395,0.66939,0.40457,1.55886,0.77174,0.87783,0.0018812,0.0018812,0.0018812
74,1036.55,1.71473,0.79359,0.88025,0.95592,0.39414,0.66907,0.40586,1.53019,0.7784,0.87218,0.00187955,0.00187955,0.00187955
75,1048.58,1.74856,0.80678,0.88687,0.95746,0.39409,0.66904,0.40065,1.57125,0.78309,0.87776,0.0018779,0.0018779,0.0018779
76,1063.07,1.76576,0.80349,0.88039,0.95825,0.39501,0.6708,0.40092,1.59021,0.78052,0.87817,0.00187625,0.00187625,0.00187625
77,1073.94,1.73209,0.79702,0.87958,0.95478,0.39431,0.66963,0.40791,1.53552,0.77254,0.87418,0.0018746,0.0018746,0.0018746
78,1087.05,1.72183,0.80044,0.88463,0.9521,0.39368,0.66842,0.40311,1.54095,0.78001,0.87464,0.00187295,0.00187295,0.00187295
79,1098.68,1.74457,0.79167,0.87693,0.95257,0.39257,0.66627,0.39992,1.56321,0.78508,0.87648,0.0018713,0.0018713,0.0018713
