epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2788,5.5488,13.209,3.31973,0,0,0,0,3.08733,13.7521,1.81966,0.0006,0.0006,0.0006
2,38.4687,5.44999,5.68077,2.87281,0,0,0,0,3.07551,11.7307,1.87131,0.00121695,0.00121695,0.00121695
3,52.842,4.81971,2.31508,2.10278,0,0,0,0,3.06866,6.30662,1.91186,0.00183081,0.00183081,0.00183081
4,67.6521,4.63516,2.09336,1.67092,0.05089,0.0019,0.00458,0.00123,2.49409,5.32477,1.14179,0.00198502,0.00198502,0.00198502
5,82.1041,4.25127,2.21259,1.58562,0.07446,0.02342,0.03231,0.00771,3.8718,2.73342,1.34111,0.00198002,0.00198002,0.00198002
6,97.3536,4.23453,2.35869,1.44877,0.1039,0.02779,0.04132,0.01071,3.80707,1.85937,1.42007,0.00197503,0.00197503,0.00197503
7,111.911,4.16954,2.45213,1.38234,0.10836,0.04436,0.0631,0.01683,4.35757,2.20645,1.59961,0.00197003,0.00197003,0.00197003
8,127.122,4.01793,2.49337,1.39913,0.22404,0.09403,0.13232,0.03927,3.80597,2.77707,1.3819,0.00196503,0.00196503,0.00196503
9,142.454,4.03797,2.45802,1.37766,0.26309,0.11042,0.15647,0.04909,3.42216,2.93526,1.2893,0.00196004,0.00196004,0.00196004
10,158.036,4.04024,2.38737,1.36522,0.283,0.11878,0.17131,0.05042,3.89521,2.50681,1.3765,0.00195505,0.00195505,0.00195505
11,173.117,3.86083,2.26258,1.32777,0.36156,0.15175,0.22014,0.07345,3.40966,2.35237,1.30906,0.00195005,0.00195005,0.00195005
12,188.015,3.78647,2.23415,1.32317,0.3237,0.13586,0.20194,0.04975,4.22306,2.22471,1.36318,0.00194506,0.00194506,0.00194506
13,202.321,3.65942,2.13236,1.29747,0.2256,0.09468,0.14561,0.03387,4.59925,2.08784,1.35878,0.00194006,0.00194006,0.00194006
14,217.635,3.63816,2.00698,1.25326,0.48144,0.20206,0.32504,0.09587,3.85626,1.80716,1.24671,0.00193507,0.00193507,0.00193507
15,232.524,3.54285,1.90089,1.19957,0.57388,0.24086,0.38815,0.12725,3.49913,1.39371,1.25438,0.00193007,0.00193007,0.00193007
16,247.379,3.44009,1.76908,1.20045,0.61352,0.2575,0.42327,0.14482,3.39289,1.55893,1.18522,0.00192508,0.00192508,0.00192508
17,262.702,3.38085,1.70377,1.17779,0.6831,0.2864,0.46683,0.17476,2.96715,1.41902,1.18238,0.00192008,0.00192008,0.00192008
18,277.729,3.24374,1.62059,1.13577,0.72735,0.30381,0.50184,0.18674,2.92909,1.3806,1.15958,0.00191508,0.00191508,0.00191508
19,292.507,3.10486,1.54061,1.12584,0.75331,0.31567,0.52049,0.19958,2.80871,1.37723,1.1386,0.00191009,0.00191009,0.00191009
20,307.454,3.0836,1.4871,1.12859,0.77046,0.31545,0.52325,0.20841,2.65204,1.26826,1.11299,0.0019051,0.0019051,0.0019051
21,322.468,2.95633,1.41379,1.07531,0.76891,0.31587,0.52146,0.20964,2.59924,1.21122,1.08531,0.0019001,0.0019001,0.0019001
22,337.585,2.9085,1.36152,1.07404,0.78282,0.32157,0.52965,0.20951,2.58745,1.16164,1.07103,0.00189511,0.00189511,0.00189511
23,352.534,2.85902,1.31019,1.0447,0.80891,0.3304,0.54783,0.23284,2.44124,1.08343,1.04211,0.00189011,0.00189011,0.00189011
24,367.597,2.80716,1.27454,1.04468,0.82198,0.3383,0.56376,0.22622,2.48553,1.11365,1.04492,0.00188512,0.00188512,0.00188512
25,383.209,2.74116,1.228,1.04498,0.82481,0.33908,0.56708,0.24075,2.41359,1.04282,1.04249,0.00188012,0.00188012,0.00188012
26,398.965,2.78218,1.23068,1.03738,0.81663,0.33631,0.56459,0.2435,2.38831,1.03717,1.03308,0.00187513,0.00187513,0.00187513
27,413.977,2.65222,1.13838,1.03306,0.8449,0.34808,0.58588,0.25637,2.32406,0.97325,1.00943,0.00187013,0.00187013,0.00187013
28,429.364,2.65605,1.15514,1.01315,0.75182,0.30658,0.51227,0.20251,2.63913,1.05032,1.05724,0.00186513,0.00186513,0.00186513
29,444.681,2.62164,1.10636,1.01843,0.817,0.336,0.56747,0.24975,2.36135,0.98171,1.02105,0.00186014,0.00186014,0.00186014
30,460.087,2.57773,1.06253,1.00125,0.84825,0.34845,0.58735,0.26357,2.25753,0.95103,1.00307,0.00185515,0.00185515,0.00185515
31,475.607,2.60426,1.08812,0.98671,0.72544,0.30029,0.50051,0.18916,2.76419,1.09506,1.06975,0.00185015,0.00185015,0.00185015
32,490.326,2.49595,1.02627,0.99369,0.7001,0.29123,0.48926,0.1904,2.79485,1.09646,1.07261,0.00184516,0.00184516,0.00184516
33,505.151,2.5039,1.02448,0.99994,0.83212,0.34447,0.57658,0.26828,2.22175,0.94329,1.00011,0.00184016,0.00184016,0.00184016
34,520.197,2.52111,1.04994,0.98804,0.80267,0.3332,0.56142,0.25974,2.20884,1.02449,1.01934,0.00183516,0.00183516,0.00183516
35,535.46,2.43854,0.99865,0.97002,0.8836,0.36392,0.61498,0.28153,2.21631,0.90226,0.97988,0.00183017,0.00183017,0.00183017
36,551.126,2.47452,1.01566,0.97309,0.86762,0.35838,0.60656,0.29765,2.09405,0.89993,0.98203,0.00182518,0.00182518,0.00182518
37,565.917,2.45278,0.99774,0.98605,0.84913,0.35021,0.59227,0.28553,2.14347,0.91978,0.99104,0.00182018,0.00182018,0.00182018
38,581.237,2.43513,0.99932,0.97944,0.8709,0.35822,0.60581,0.29401,2.11731,0.88772,0.9813,0.00181519,0.00181519,0.00181519
39,596.694,2.45259,0.9987,0.97396,0.86246,0.35654,0.60253,0.29222,2.1189,0.92668,0.98339,0.00181019,0.00181019,0.00181019
40,611.513,2.3815,0.98617,0.97895,0.8498,0.34958,0.58903,0.28167,2.21046,0.95293,1.00048,0.00180519,0.00180519,0.00180519
41,626.869,2.38282,0.97345,0.97384,0.87244,0.35859,0.60793,0.29965,2.09881,0.90649,0.98181,0.0018002,0.0018002,0.0018002
42,641.696,2.34087,0.95943,0.96893,0.88316,0.3639,0.61801,0.31349,2.02023,0.91729,0.97094,0.00179521,0.00179521,0.00179521
43,656.721,2.3002,0.95264,0.96963,0.88849,0.36608,0.62114,0.31951,2.00216,0.87664,0.9636,0.00179021,0.00179021,0.00179021
44,671.598,2.34531,0.95245,0.97127,0.89519,0.37001,0.62563,0.30139,2.1093,0.86419,0.96223,0.00178521,0.00178521,0.00178521
45,686.578,2.32857,0.95524,0.95725,0.88799,0.36533,0.62039,0.3118,2.06177,0.8933,0.96998,0.00178022,0.00178022,0.00178022
46,701.469,2.28253,0.9435,0.96757,0.90296,0.37193,0.63272,0.32399,1.99232,0.87237,0.9618,0.00177522,0.00177522,0.00177522
47,716.782,2.29921,0.93945,0.95566,0.89521,0.36886,0.62695,0.31639,2.08428,0.89547,0.97258,0.00177023,0.00177023,0.00177023
48,731.68,2.25823,0.93348,0.96123,0.89345,0.36907,0.62668,0.3225,1.97312,0.87832,0.95539,0.00176524,0.00176524,0.00176524
49,747.133,2.27216,0.93475,0.94767,0.88612,0.36554,0.61892,0.31325,2.0222,0.88842,0.96201,0.00176024,0.00176024,0.00176024
50,762.154,2.24785,0.92515,0.94236,0.89504,0.36907,0.62618,0.32545,1.9903,0.87541,0.95884,0.00175524,0.00175524,0.00175524
51,776.602,2.22444,0.94361,0.9701,0.89743,0.36992,0.62848,0.31586,2.01996,0.88988,0.95862,0.00175025,0.00175025,0.00175025
52,791.482,2.21879,0.93752,0.94495,0.89369,0.36811,0.62464,0.33102,1.92478,0.89475,0.95093,0.00174526,0.00174526,0.00174526
53,806.482,2.20867,0.92938,0.94674,0.89746,0.36969,0.62858,0.32801,1.98276,0.89696,0.96242,0.00174026,0.00174026,0.00174026
