epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,672.526,2.30911,0.95939,0.97647,0.89428,0.36851,0.62298,0.31076,2.04355,0.87506,0.96877,0.00172028,0.00172028,0.00172028
44,687.983,2.3992,0.94813,0.97508,0.90369,0.37348,0.63265,0.30987,2.06278,0.87667,0.95876,0.00171362,0.00171362,0.00171362
45,703.712,2.33243,0.96265,0.95724,0.89531,0.36822,0.62192,0.31482,2.00685,0.8812,0.95308,0.00170696,0.00170696,0.00170696
46,719.151,2.30202,0.95145,0.9699,0.89096,0.36805,0.61894,0.29821,2.07261,0.87848,0.96465,0.0017003,0.0017003,0.0017003
47,734.887,2.33575,0.94144,0.96138,0.89081,0.36848,0.62097,0.31294,2.04994,0.87672,0.96751,0.00169364,0.00169364,0.00169364
48,750.363,2.26837,0.94065,0.9632,0.87755,0.36248,0.61144,0.29702,2.13489,0.90998,0.9802,0.00168698,0.00168698,0.00168698
49,766.298,2.31829,0.93795,0.94995,0.91046,0.37743,0.63856,0.31862,2.04987,0.84035,0.95698,0.00168032,0.00168032,0.00168032
50,782.129,2.26508,0.93688,0.94626,0.9071,0.37341,0.63239,0.32041,2.01525,0.86407,0.9627,0.00167366,0.00167366,0.00167366
51,797.17,2.24416,0.94727,0.97621,0.88997,0.3672,0.62091,0.3175,2.01708,0.89885,0.97222,0.001667,0.001667,0.001667
52,812.583,2.23954,0.9279,0.94767,0.89641,0.36851,0.62594,0.31262,2.14952,0.91665,0.99093,0.00166034,0.00166034,0.00166034
53,827.86,2.22395,0.93433,0.95214,0.91227,0.37643,0.6384,0.33461,1.94553,0.86755,0.96069,0.00165368,0.00165368,0.00165368
54,843.507,2.20382,0.92515,0.96065,0.89463,0.37029,0.62665,0.31753,2.04695,0.893,0.97129,0.00164702,0.00164702,0.00164702
55,859.294,2.24284,0.94256,0.95324,0.91854,0.38002,0.64458,0.33601,1.93865,0.85041,0.95007,0.00164036,0.00164036,0.00164036
56,874.417,2.193,0.9414,0.96073,0.9112,0.37658,0.63837,0.33037,1.95644,0.87691,0.95629,0.0016337,0.0016337,0.0016337
57,890.095,2.20332,0.93266,0.94649,0.92049,0.37929,0.6442,0.34373,1.91869,0.85271,0.95061,0.00162704,0.00162704,0.00162704
58,905.91,2.20415,0.93498,0.95228,0.9111,0.37603,0.63702,0.33375,1.91925,0.8763,0.95615,0.00162038,0.00162038,0.00162038
59,921.55,2.20749,0.94497,0.95269,0.9183,0.37856,0.64282,0.34309,1.90767,0.86472,0.95141,0.00161372,0.00161372,0.00161372
60,936.663,2.16454,0.92425,0.95069,0.90051,0.37049,0.62885,0.32615,1.99077,0.91554,0.97225,0.00160706,0.00160706,0.00160706
61,952.384,2.20546,0.93751,0.95594,0.89537,0.36881,0.62617,0.31627,2.0482,0.93608,0.97904,0.0016004,0.0016004,0.0016004
62,968.361,2.17767,0.92675,0.94674,0.90932,0.37643,0.63691,0.32773,1.97792,0.89998,0.95655,0.00159374,0.00159374,0.00159374
