epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0965,6.49745,4.75484,3.89047,0,0,0,0,7.0279,4.92747,4.29849,0.000661247,0.000661247,0.000661247
2,153.339,5.25703,2.81542,3.18827,0.17994,0.07552,0.09705,0.02694,4.1969,2.20918,2.64305,0.00131477,0.00131477,0.00131477
3,205.393,4.31607,2.09532,2.5564,0.36272,0.15224,0.21977,0.07862,3.81283,1.77194,2.18467,0.00195509,0.00195509,0.00195509
4,268.62,3.80323,1.82917,2.13309,0.56786,0.22998,0.36461,0.13968,3.00941,1.56542,1.84024,0.0019406,0.0019406,0.0019406
5,411.556,3.45552,1.68466,1.92843,0.70499,0.28823,0.47171,0.19205,2.60676,1.37455,1.64161,0.0019208,0.0019208,0.0019208
6,553.944,3.24643,1.54193,1.77323,0.77555,0.31947,0.52544,0.22757,2.43731,1.18208,1.61167,0.001901,0.001901,0.001901
7,630.763,2.96347,1.40375,1.64046,0.81247,0.33336,0.55536,0.24005,2.32889,1.14429,1.59268,0.0018812,0.0018812,0.0018812
8,748.914,2.75961,1.31165,1.62276,0.84536,0.34921,0.57675,0.25351,2.2371,1.05727,1.52518,0.0018614,0.0018614,0.0018614
9,985.522,2.62552,1.23194,1.52132,0.85519,0.34891,0.58606,0.26492,2.17494,1.05672,1.47601,0.0018416,0.0018416,0.0018416
10,1075.73,2.49719,1.21062,1.49074,0.80403,0.33042,0.54028,0.22181,2.25943,1.12823,1.45285,0.0018218,0.0018218,0.0018218
11,1136.84,2.41777,1.17753,1.41563,0.87976,0.36255,0.60811,0.28098,2.13335,0.99984,1.3831,0.001802,0.001802,0.001802
12,1248.19,2.37146,1.14548,1.39432,0.87652,0.36235,0.60842,0.24633,2.30671,1.0454,1.42161,0.0017822,0.0017822,0.0017822
13,1315.59,2.28941,1.12555,1.35765,0.88345,0.36347,0.61288,0.29847,2.0331,1.03855,1.33844,0.0017624,0.0017624,0.0017624
14,1370.37,2.26894,1.11472,1.32846,0.8689,0.35849,0.6041,0.27776,2.14202,1.10739,1.35354,0.0017426,0.0017426,0.0017426
15,1462.6,2.21664,1.10844,1.32572,0.87816,0.3625,0.60473,0.2883,2.06218,1.04091,1.31546,0.0017228,0.0017228,0.0017228
16,1589.87,2.20526,1.13837,1.3,0.91527,0.37811,0.64172,0.31132,2.08036,0.9787,1.32045,0.001703,0.001703,0.001703
17,1722.95,2.15595,1.0771,1.27472,0.89507,0.37009,0.62702,0.32889,1.9397,1.02556,1.28383,0.0016832,0.0016832,0.0016832
18,1832.44,2.10874,1.04988,1.24749,0.90364,0.37074,0.62953,0.32911,1.89119,1.00939,1.24442,0.0016634,0.0016634,0.0016634
19,1885.36,2.06711,1.05847,1.25811,0.91087,0.37514,0.63829,0.34199,1.85936,0.98242,1.24634,0.0016436,0.0016436,0.0016436
20,2013.89,2.099,1.0351,1.22549,0.92094,0.37813,0.64455,0.35488,1.82354,0.96403,1.23721,0.0016238,0.0016238,0.0016238
21,2081.92,2.03928,1.03588,1.23669,0.93054,0.3824,0.65252,0.33649,1.93536,0.95382,1.25713,0.001604,0.001604,0.001604
22,2172.5,2.02178,1.02485,1.22445,0.91528,0.3773,0.63976,0.34551,1.87698,0.99717,1.22879,0.0015842,0.0015842,0.0015842
23,2218.36,2.0021,1.02375,1.2258,0.90997,0.37904,0.64284,0.33001,1.93789,0.97377,1.23714,0.0015644,0.0015644,0.0015644
24,2263.2,2.00853,1.02952,1.24346,0.91339,0.37562,0.64066,0.34931,1.80593,0.9928,1.20104,0.0015446,0.0015446,0.0015446
25,2337.56,1.98352,1.00618,1.17929,0.90763,0.37137,0.63195,0.35067,1.80713,0.97546,1.19988,0.0015248,0.0015248,0.0015248
26,2425.33,1.99732,1.00993,1.1947,0.91648,0.37621,0.64148,0.35231,1.7921,0.97421,1.19554,0.001505,0.001505,0.001505
27,2489.26,1.97227,0.99124,1.16821,0.91791,0.37642,0.64152,0.35407,1.81898,0.97045,1.20584,0.0014852,0.0014852,0.0014852
28,2669.7,1.95665,0.99884,1.19225,0.91047,0.37422,0.63507,0.33831,1.85656,0.97623,1.19472,0.0014654,0.0014654,0.0014654
29,2750.12,1.94335,0.97214,1.16132,0.92206,0.37864,0.64494,0.35702,1.77952,0.96036,1.17605,0.0014456,0.0014456,0.0014456
30,2798.47,1.89996,0.99023,1.1844,0.92644,0.37865,0.64616,0.36873,1.73036,0.94309,1.16885,0.0014258,0.0014258,0.0014258
31,2856.88,1.85635,0.99084,1.17944,0.92373,0.37848,0.64291,0.36698,1.73844,0.93507,1.16825,0.001406,0.001406,0.001406
32,2933.43,1.87612,0.97321,1.14943,0.9321,0.38047,0.64776,0.37399,1.69125,0.93379,1.15069,0.0013862,0.0013862,0.0013862
33,3000.4,1.85456,0.98636,1.15472,0.91373,0.37289,0.63438,0.37124,1.68581,0.95643,1.15332,0.0013664,0.0013664,0.0013664
34,3060.31,1.85345,0.96856,1.13767,0.92504,0.37874,0.64622,0.37142,1.68813,0.93069,1.14564,0.0013466,0.0013466,0.0013466
35,3139.15,1.86701,0.97686,1.14707,0.90926,0.37186,0.62866,0.34888,1.79759,0.96522,1.16053,0.0013268,0.0013268,0.0013268
36,3202.47,1.87261,0.96917,1.12751,0.92256,0.37262,0.63332,0.37082,1.67167,0.9575,1.13913,0.001307,0.001307,0.001307
37,3266.29,1.82591,0.9746,1.13589,0.92185,0.37456,0.63719,0.3739,1.67048,0.94345,1.13088,0.0012872,0.0012872,0.0012872
38,3327.22,1.80409,0.96295,1.12565,0.91854,0.37666,0.63984,0.36426,1.75685,0.92502,1.1548,0.0012674,0.0012674,0.0012674
39,3400.74,1.80438,0.9593,1.11124,0.92551,0.37972,0.64454,0.38517,1.62407,0.91776,1.12201,0.0012476,0.0012476,0.0012476
40,3446.63,1.77005,0.95023,1.12636,0.91837,0.37651,0.63726,0.37226,1.66901,0.95063,1.12559,0.0012278,0.0012278,0.0012278
41,3732.72,1.76817,0.9509,1.10655,0.9318,0.38141,0.64749,0.38757,1.62337,0.91496,1.11521,0.001208,0.001208,0.001208
42,3891.16,1.79526,0.95549,1.11987,0.92887,0.38029,0.64644,0.3734,1.66205,0.94179,1.11624,0.0011882,0.0011882,0.0011882
43,3944.95,1.78962,0.97016,1.12824,0.91628,0.3757,0.63514,0.36974,1.66017,0.95229,1.12711,0.0011684,0.0011684,0.0011684
44,4001.7,1.75701,0.94893,1.09989,0.931,0.38123,0.64722,0.39203,1.62496,0.91805,1.10706,0.0011486,0.0011486,0.0011486
45,4133.24,1.75848,0.94548,1.10174,0.91101,0.37602,0.62973,0.37848,1.60258,0.91976,1.11302,0.0011288,0.0011288,0.0011288
46,4383.54,1.74185,0.94564,1.09698,0.935,0.38254,0.65065,0.38861,1.61598,0.91972,1.10474,0.001109,0.001109,0.001109
47,4506.52,1.73292,0.96365,1.11802,0.9127,0.37521,0.63049,0.37963,1.62919,0.93792,1.1301,0.0010892,0.0010892,0.0010892
48,4610.88,1.71815,0.93318,1.08429,0.93246,0.38224,0.64814,0.38917,1.60096,0.90054,1.10116,0.0010694,0.0010694,0.0010694
49,4682.67,1.73075,0.94373,1.09026,0.93014,0.38164,0.64822,0.38837,1.59062,0.91161,1.10626,0.0010496,0.0010496,0.0010496
50,4886.7,1.73683,0.95183,1.08623,0.92441,0.38097,0.63763,0.38332,1.57753,0.92491,1.10269,0.0010298,0.0010298,0.0010298
51,4987.41,1.74053,0.96196,1.09723,0.92829,0.3815,0.65009,0.37505,1.66798,0.94056,1.10851,0.00101,0.00101,0.00101
1,62.511,1.70532,0.94332,1.08485,0.93738,0.3859,0.6577,0.40162,1.54236,0.90228,1.07369,0.000661247,0.000661247,0.000661247
2,158.179,1.71974,0.9332,1.09446,0.90262,0.37309,0.6162,0.36909,1.62928,0.96055,1.11626,0.00131477,0.00131477,0.00131477
3,205.697,1.7073,0.94583,1.08675,0.91377,0.37747,0.6281,0.36993,1.59291,0.97344,1.08746,0.00195509,0.00195509,0.00195509
4,276.203,1.76254,0.95775,1.08217,0.93476,0.38362,0.65462,0.38212,1.63551,0.93651,1.08267,0.0019406,0.0019406,0.0019406
5,441.727,1.7176,0.94658,1.08191,0.94038,0.37713,0.65075,0.38736,1.61678,0.93607,1.08198,0.0019208,0.0019208,0.0019208
6,501.782,1.70459,0.93941,1.06931,0.94308,0.38892,0.66352,0.39973,1.57803,0.88748,1.07721,0.001901,0.001901,0.001901
7,582.296,1.68931,0.93903,1.05561,0.92261,0.37748,0.64636,0.38453,1.62891,0.92364,1.09122,0.0018812,0.0018812,0.0018812
8,632.383,1.67529,0.94032,1.07141,0.9304,0.38277,0.64641,0.3864,1.58522,0.9308,1.0885,0.0018614,0.0018614,0.0018614
9,691.018,1.67846,0.93882,1.05847,0.9144,0.37747,0.64,0.3936,1.51718,0.92176,1.06288,0.0018416,0.0018416,0.0018416
10,736.848,1.68045,0.95067,1.06579,0.9411,0.38738,0.66022,0.39981,1.53277,0.89619,1.06052,0.0018218,0.0018218,0.0018218
11,800.17,1.69646,0.95139,1.06667,0.90928,0.37569,0.6363,0.37709,1.62873,0.96636,1.09266,0.001802,0.001802,0.001802
12,840.715,1.67539,0.93976,1.06109,0.9194,0.37769,0.63872,0.38682,1.5791,0.93289,1.07596,0.0017822,0.0017822,0.0017822
13,902.867,1.68352,0.94842,1.0618,0.92952,0.38145,0.64217,0.3824,1.50386,0.9146,1.04486,0.0017624,0.0017624,0.0017624
14,953.414,1.66697,0.95282,1.05583,0.92785,0.38212,0.65419,0.40475,1.50608,0.91181,1.05037,0.0017426,0.0017426,0.0017426
15,1186.27,1.63596,0.94489,1.05926,0.93862,0.38624,0.65688,0.40098,1.52992,0.90211,1.06792,0.0017228,0.0017228,0.0017228
16,1358.69,1.67266,0.96144,1.05897,0.88994,0.37352,0.61645,0.37605,1.55795,1.09214,1.1085,0.001703,0.001703,0.001703
17,1551.1,1.66827,0.94917,1.05416,0.9286,0.38363,0.65431,0.39859,1.52685,0.9255,1.05604,0.0016832,0.0016832,0.0016832
18,1697.99,1.64958,0.93429,1.04411,0.90861,0.37698,0.6398,0.3784,1.58862,1.03533,1.09837,0.0016634,0.0016634,0.0016634
19,1880.1,1.64039,0.95183,1.05439,0.92201,0.38113,0.64107,0.39267,1.55655,0.93559,1.07469,0.0016436,0.0016436,0.0016436
20,2080.18,1.64388,0.94316,1.03511,0.93765,0.38652,0.6545,0.39831,1.50966,0.91622,1.04546,0.0016238,0.0016238,0.0016238
21,2183.53,1.60052,0.92774,1.03923,0.9404,0.38948,0.66436,0.41296,1.49709,0.8965,1.04535,0.001604,0.001604,0.001604
22,2241.98,1.60358,0.93065,1.04069,0.9269,0.38473,0.65721,0.39733,1.55093,0.92461,1.05776,0.0015842,0.0015842,0.0015842
23,2301.27,1.60983,0.94282,1.04188,0.93778,0.39021,0.66542,0.41419,1.48588,0.90309,1.04114,0.0015644,0.0015644,0.0015644
24,2553.5,1.60565,0.94377,1.05319,0.94423,0.39259,0.6685,0.41366,1.51409,0.89213,1.04332,0.0015446,0.0015446,0.0015446
25,2789.09,1.60221,0.92137,1.02077,0.92925,0.38404,0.65797,0.4133,1.46366,0.91076,1.03239,0.0015248,0.0015248,0.0015248
26,2986.98,1.62026,0.93434,1.03598,0.94157,0.38454,0.65586,0.40271,1.52222,0.89572,1.06509,0.001505,0.001505,0.001505
27,3088.62,1.62213,0.93073,1.02378,0.91435,0.37979,0.63215,0.39116,1.52503,0.94795,1.07357,0.0014852,0.0014852,0.0014852
28,3292.67,1.60752,0.94034,1.03337,0.93422,0.38666,0.65508,0.40964,1.46596,0.90536,1.03991,0.0014654,0.0014654,0.0014654
29,3387.62,1.60089,0.92702,1.021,0.95243,0.39011,0.66519,0.40995,1.50481,0.8829,1.04342,0.0014456,0.0014456,0.0014456
30,3493.31,1.60287,0.93244,1.03949,0.94806,0.39174,0.66786,0.41561,1.47556,0.8862,1.02906,0.0014258,0.0014258,0.0014258
31,3589.8,1.57485,0.94306,1.03963,0.92901,0.38522,0.65135,0.39679,1.4995,0.91931,1.0516,0.001406,0.001406,0.001406
32,3648.1,1.59714,0.93861,1.02753,0.94061,0.38128,0.65654,0.41312,1.46634,0.91256,1.0409,0.0013862,0.0013862,0.0013862
33,3706.15,1.61506,0.93433,1.03648,0.9513,0.39052,0.66586,0.41579,1.4578,0.89151,1.03115,0.0013664,0.0013664,0.0013664
34,3766.2,1.61206,0.94358,1.0252,0.95157,0.39147,0.66757,0.40871,1.49359,0.88693,1.03699,0.0013466,0.0013466,0.0013466
35,4005.82,1.60953,0.93732,1.03074,0.95672,0.37588,0.65426,0.40867,1.48811,0.92013,1.04192,0.0013268,0.0013268,0.0013268
36,4166.46,1.56628,0.92743,1.01471,0.94551,0.38902,0.6655,0.41739,1.44008,0.90833,1.02411,0.001307,0.001307,0.001307
37,4258.74,1.5574,0.94454,1.02365,0.94779,0.38988,0.6649,0.41929,1.43608,0.89773,1.02027,0.0012872,0.0012872,0.0012872
38,4319.72,1.56139,0.93171,1.02275,0.94929,0.38957,0.66545,0.41815,1.4262,0.89998,1.01773,0.0012674,0.0012674,0.0012674
39,4407.85,1.57423,0.93144,1.01465,0.93484,0.38642,0.65382,0.41129,1.47405,0.90525,1.0426,0.0012476,0.0012476,0.0012476
40,4458.63,1.54956,0.92658,1.026,0.93662,0.38538,0.65494,0.41079,1.47201,0.9111,1.04245,0.0012278,0.0012278,0.0012278
