epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4943,1.56184,0.73804,0.85706,0.96725,0.39801,0.67667,0.43463,1.4183,0.7375,0.85801,0.000655914,0.000655914,0.000655914
2,28.3435,1.57025,0.74272,0.85795,0.96414,0.39683,0.67413,0.42554,1.4388,0.74647,0.86074,0.00132127,0.00132127,0.00132127
3,39.2975,1.55009,0.74936,0.86338,0.96411,0.3968,0.67418,0.42497,1.43636,0.75481,0.85954,0.00198531,0.00198531,0.00198531
4,51.6481,1.56796,0.74265,0.8533,0.96471,0.39717,0.67499,0.43,1.42678,0.74388,0.85779,0.00199406,0.00199406,0.00199406
5,63.7323,1.57995,0.74007,0.85934,0.96959,0.39899,0.67803,0.43417,1.41843,0.73897,0.85662,0.00199208,0.00199208,0.00199208
6,77.1511,1.56079,0.73713,0.85344,0.96766,0.39799,0.67668,0.4338,1.41821,0.74534,0.8575,0.0019901,0.0019901,0.0019901
7,88.9741,1.55305,0.73823,0.85349,0.96459,0.39671,0.67418,0.42475,1.43102,0.7532,0.8594,0.00198812,0.00198812,0.00198812
8,100.766,1.57959,0.7446,0.86069,0.96308,0.39638,0.67274,0.42212,1.4569,0.74456,0.86016,0.00198614,0.00198614,0.00198614
9,112.897,1.59049,0.74841,0.8585,0.96517,0.39698,0.67475,0.42961,1.43719,0.74442,0.85857,0.00198416,0.00198416,0.00198416
10,126.125,1.57819,0.74946,0.85973,0.96743,0.39802,0.67618,0.43518,1.41579,0.74028,0.85714,0.00198218,0.00198218,0.00198218
11,140.37,1.60265,0.74777,0.85992,0.96576,0.39781,0.67581,0.43219,1.43061,0.73954,0.85944,0.0019802,0.0019802,0.0019802
12,152.603,1.59868,0.74948,0.86413,0.96591,0.39755,0.67583,0.4242,1.46897,0.74621,0.86334,0.00197822,0.00197822,0.00197822
13,167.434,1.57919,0.74604,0.86549,0.96582,0.39768,0.67586,0.4283,1.43429,0.7482,0.85985,0.00197624,0.00197624,0.00197624
14,181.201,1.59978,0.74853,0.86099,0.96387,0.39685,0.67436,0.42797,1.44026,0.7464,0.86377,0.00197426,0.00197426,0.00197426
15,193.181,1.56499,0.75086,0.86627,0.96574,0.39721,0.6751,0.43226,1.43062,0.74482,0.85877,0.00197228,0.00197228,0.00197228
