epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,584.936,2.39112,0.9694,0.9901,0.8464,0.35018,0.59106,0.28017,2.15396,0.92295,1.00615,0.0011684,0.0011684,0.0011684
44,603.069,2.42419,0.97151,0.98795,0.88414,0.36504,0.61554,0.28858,2.15003,0.87398,0.98442,0.0011486,0.0011486,0.0011486
45,614.679,2.35805,0.95296,0.99149,0.84934,0.35065,0.59114,0.27837,2.17746,0.91436,0.99541,0.0011288,0.0011288,0.0011288
46,637.301,2.38428,0.96918,0.99432,0.87729,0.36255,0.61077,0.30144,2.06588,0.87391,0.97796,0.001109,0.001109,0.001109
47,657.405,2.40499,0.97118,0.98859,0.88555,0.36616,0.61765,0.28831,2.16081,0.86051,0.97911,0.0010892,0.0010892,0.0010892
48,674.427,2.34853,0.96786,0.98855,0.87245,0.36022,0.60896,0.30212,2.03756,0.90328,0.9824,0.0010694,0.0010694,0.0010694
49,685.899,2.36874,0.95803,0.98481,0.89242,0.36742,0.62145,0.30319,2.07717,0.85768,0.97415,0.0010496,0.0010496,0.0010496
50,701.782,2.33903,0.93228,0.96566,0.88463,0.36487,0.6153,0.30473,2.03843,0.87477,0.97847,0.0010298,0.0010298,0.0010298
51,713.926,2.29362,0.94256,0.97923,0.89273,0.36729,0.62063,0.30863,2.04071,0.86461,0.97309,0.00101,0.00101,0.00101
52,725.142,2.3232,0.94138,0.98547,0.89107,0.36758,0.62096,0.30838,2.03921,0.85958,0.96904,0.0009902,0.0009902,0.0009902
53,737.163,2.29328,0.93284,0.97156,0.8836,0.3654,0.6176,0.3074,2.02563,0.8741,0.97079,0.0009704,0.0009704,0.0009704
54,749.24,2.28222,0.93445,0.96979,0.89855,0.37024,0.62652,0.31378,2.02324,0.8553,0.96415,0.0009506,0.0009506,0.0009506
55,760.902,2.30504,0.93015,0.96664,0.89853,0.36997,0.62671,0.31507,2.01185,0.85444,0.96596,0.0009308,0.0009308,0.0009308
56,771.743,2.21015,0.91924,0.97272,0.89621,0.37013,0.62527,0.31605,1.99112,0.85261,0.96185,0.000911,0.000911,0.000911
57,784.348,2.24174,0.93325,0.96607,0.89132,0.36881,0.62427,0.32108,1.95298,0.86321,0.96087,0.0008912,0.0008912,0.0008912
58,796.107,2.21104,0.90837,0.96043,0.90306,0.37189,0.62933,0.32578,1.95068,0.83641,0.95934,0.0008714,0.0008714,0.0008714
